"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Get ResourceID Details with ID","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Creating CustomElement","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Creating ResourceRegistries","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Patch ResourceID Request","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Get CustomTag details with ID","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating PUT ResourceRegistriry Details with ID","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Create ResourceID","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Get Reaction details with ID","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Patch UserCustomTemplate","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Fetching All Tenant","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Patch CustomTemplate","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Deleting Attachment","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Put Reaction","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Put UserRecipient","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Creating a CustomTemplate","0"
"1","","1","ResourceGraph API Testing","0","0","Get ResourceID Details with ID","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Fetching all ResourceRegistries","0"
"1","","0","ResourceGraph API Testing","0","0","Create ResourceGraph","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Fetching all CustomElement","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Get ResourceRegistriesID Details with ID","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Deleting CustomTemplate","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Creating a CustomTag","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Patch ResourceRegistries request","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Deleting CustomElement","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Patch Attachment","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Fetching All BaseUserMessage","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Patch CustomTag","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Put Attachment","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Get CustomElement details with ID","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Patch Message request","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Put CustomElement","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Fetching all Resources","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Deleting UserRecipient","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Patch BaseUserMessage","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Patch Reaction","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Put CustomTemplate","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Fetching all Message","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating PUT Message","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Deleting CustomTag","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Get UserRecipient details with ID","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Patch CustomElement","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Patch Tenant","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Deleting ResourceID Detail","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Get CustomTemplate details with ID","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Patch UserRecipient","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Get UserCustomTemplate details with ID","0"
"1","","0","ResourceGraph API Testing","0","0","Updating Patch ResourceID Request","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Creating a UserRecipient","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Get Attachment details with ID","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Get BaseUserMessage details with ID","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Creating a Attachment","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Fetching All CustomTemplate","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Fetching all Attchments","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Creating a UserCustomTemplate","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Fetching All UserRecipient","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Put CustomTag","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Deleting Reaction","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Fetching All CustomTag","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Creating BaseUserMessage","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Get Message Details with ID","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Get Tenant details with ID","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Fetching All Reaction","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Put Tenant","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Deleting ResourceRegistries Details","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating Put UserCustomTemplate","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Creating a Reaction","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Deleting Tenant","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Deleting Message","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Creating a Tenant","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Updating PUT ResourceID Details with ID","0"
"0","","0","End-to-end ResourceGraph and ResourceRegistries CRUD flow","1","0","Deleting BaseUserMessage","0"
