"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","755","Get ResourceID Details with ID","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Get ResourceID Details with ID",""
"","879","Creating CustomElement","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Creating CustomElement",""
"","823","Creating ResourceRegistries","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Creating ResourceRegistries",""
"","749","Updating Patch ResourceID Request","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Updating Patch ResourceID Request",""
"","787","Get CustomTag details with ID","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Get CustomTag details with ID",""
"","711","Updating PUT ResourceRegistriry Details with ID","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Updating PUT ResourceRegistriry Details with ID",""
"","3650","Create ResourceID","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Create ResourceID",""
"","759","Get Reaction details with ID","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Get Reaction details with ID",""
"","788","Updating Patch UserCustomTemplate","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Updating Patch UserCustomTemplate",""
"","732","Fetching All Tenant","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Fetching All Tenant",""
"","723","Updating Patch CustomTemplate","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Updating Patch CustomTemplate",""
"","735","Deleting Attachment","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Deleting Attachment",""
"","726","Updating Put Reaction","","2025-10-13","passed","2025-10-13","","End-to-end ResourceGraph and ResourceRegistries CRUD flow","Updating Put Reaction",""
